Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Class	Seq_count	pattern	clades
tr|A0A1H8TML4|A0A1H8TML4_9GAMM_DNA-binding_transcriptional_regulator_CsgD_family_OS=Aquisalimonas_asiatica_OX=406100_GN=SAMN04488052_104315_PE=4_SV=1	unreviewed	A0A1H8TML4_9GAMM	DNA-binding transcriptional regulator, CsgD family	SAMN04488052_104315	Aquisalimonas asiatica	269	Aquisalimonas (genus), Ectothiorhodospiraceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	3	tr|A0A1H8TML4	clade_6
tr|A0A1H8V4W3|A0A1H8V4W3_9HYPH_Transcriptional_activator_protein_LuxR_OS=Rhizobium_tibeticum_OX=501024_GN=luxR_5_PE=4_SV=1	unreviewed	A0A1H8V4W3_9HYPH	Transcriptional activator protein LuxR	luxR_5 RTCCBAU85039_5880	Rhizobium tibeticum	266	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	16	tr|A0A1H8V4W3	clade_5
tr|A0A1H9GEK4|A0A1H9GEK4_9HYPH_Transcriptional_regulator_LuxR_family_OS=Devosia_sp._YR412_OX=1881030_GN=SAMN05428969_3230_PE=4_SV=1	unreviewed	A0A1H9GEK4_9HYPH	Transcriptional regulator, LuxR family	SAMN05428969_3230	Devosia sp. YR412	239	unclassified Devosia (no rank), Devosia (genus), Devosiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1H9GEK4	clade_5
tr|A0A1H9GXE8|A0A1H9GXE8_9HYPH_LuxR_family_transcriptional_regulator_quorum_sensing-dependent_transcriptional_regulator_OS=Devosia_sp._YR412_OX=1881030_GN=SAMN05428969_3478_PE=4_SV=1	unreviewed	A0A1H9GXE8_9HYPH	LuxR family transcriptional regulator, quorum sensing-dependent transcriptional regulator	SAMN05428969_3478	Devosia sp. YR412	247	unclassified Devosia (no rank), Devosia (genus), Devosiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	11	tr|A0A1H9GXE8	clade_5
tr|A0A1H9X5C0|A0A1H9X5C0_9HYPH_DNA-binding_transcriptional_regulator_CsgD_family_OS=Rhizobium_sp._NFR03_OX=1566263_GN=SAMN03159406_04161_PE=4_SV=1	unreviewed	A0A1H9X5C0_9HYPH	DNA-binding transcriptional regulator, CsgD family	SAMN03159406_04161	Rhizobium sp. NFR03	252	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	18	tr|A0A1H9X5C0	clade_4
tr|A0A1I3CFP6|A0A1I3CFP6_9RHOB_LuxR_family_transcriptional_regulator_OS=Paracoccus_aminovorans_OX=34004_GN=SAMN04488021_13036_PE=4_SV=1	unreviewed	A0A1I3CFP6_9RHOB	LuxR family transcriptional regulator	SAMN04488021_13036	Paracoccus aminovorans	255	Paracoccus (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A1I3CFP6	clade_3
tr|A0A1I3H1E0|A0A1I3H1E0_9HYPH_LuxR_family_transcriptional_regulator_quorum_sensing-dependent_transcriptional_regulator_OS=Methylobacterium_brachiatum_OX=269660_GN=SAMN02799642_01426_PE=4_SV=1	unreviewed	A0A1I3H1E0_9HYPH	LuxR family transcriptional regulator, quorum sensing-dependent transcriptional regulator	SAMN02799642_01426	Methylobacterium brachiatum	257	Methylobacterium (genus), Methylobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	40	tr|A0A1I3H1E0	clade_5
tr|A0A1I3HNW2|A0A1I3HNW2_9RHOB_Transcriptional_regulator_LuxR_family_OS=Albimonas_pacifica_OX=1114924_GN=SAMN05216258_10699_PE=4_SV=1	unreviewed	A0A1I3HNW2_9RHOB	Transcriptional regulator, LuxR family	SAMN05216258_10699	Albimonas pacifica	243	Albimonas (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1I3HNW2	clade_2
tr|A0A1I3NWF4|A0A1I3NWF4_9BURK_Transcriptional_regulator_LuxR_family_OS=Paraburkholderia_megapolitana_OX=420953_GN=SAMN05192543_105544_PE=4_SV=1	unreviewed	A0A1I3NWF4_9BURK	Transcriptional regulator, LuxR family	SAMN05192543_105544	Paraburkholderia megapolitana	237	Paraburkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	2	tr|A0A1I3NWF4	clade_6
tr|A0A1I3XNX6|A0A1I3XNX6_9GAMM_LuxR_family_transcriptional_regulator_quorum-sensing_system_regulator_SolR_OS=Rhodanobacter_glycinis_OX=582702_GN=SAMN05192579_10181_PE=4_SV=1	unreviewed	A0A1I3XNX6_9GAMM	LuxR family transcriptional regulator, quorum-sensing system regulator SolR	SAMN05192579_10181	Rhodanobacter glycinis	240	Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	71	tr|A0A1I3XNX6	clade_6
tr|A0A1I4HV20|A0A1I4HV20_9BURK_Regulatory_protein_luxR_family_OS=Rugamonas_rubra_OX=758825_GN=SAMN02982985_00222_PE=4_SV=1	unreviewed	A0A1I4HV20_9BURK	Regulatory protein, luxR family	SAMN02982985_00222	Rugamonas rubra	249	Rugamonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A1I4HV20	clade_6
tr|A0A1I5E8X6|A0A1I5E8X6_9GAMM_LuxR_family_transcriptional_regulator_quorum-sensing_system_regulator_ExpR_OS=Pantoea_sp._OV426_OX=1881036_GN=SAMN05428971_2827_PE=4_SV=1	unreviewed	A0A1I5E8X6_9GAMM	LuxR family transcriptional regulator, quorum-sensing system regulator ExpR	SAMN05428971_2827	Pantoea sp. OV426	247	unclassified Pantoea (no rank), Pantoea (genus), Erwiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	47	tr|A0A1I5E8X6	clade_6
tr|A0A1I5KQV7|A0A1I5KQV7_9RHOB_LuxR_family_transcriptional_regulator_OS=Tranquillimonas_alkanivorans_OX=441119_GN=SAMN04488047_101259_PE=4_SV=1	unreviewed	A0A1I5KQV7_9RHOB	LuxR family transcriptional regulator	SAMN04488047_101259	Tranquillimonas alkanivorans	252	Tranquillimonas (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1I5KQV7	clade_3
tr|A0A1I5WSX6|A0A1I5WSX6_9GAMM_DNA-binding_transcriptional_regulator_CsgD_family_OS=Enterovibrio_norvegicus_DSM_15893_OX=1121869_GN=SAMN03084138_04427_PE=4_SV=1	unreviewed	A0A1I5WSX6_9GAMM	DNA-binding transcriptional regulator, CsgD family	SAMN03084138_04427	Enterovibrio norvegicus DSM 15893	266	Enterovibrio norvegicus (species), Enterovibrio (genus), Vibrionaceae (family), Vibrionales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	11	tr|A0A1I5WSX6	clade_6
tr|A0A1I6RNQ5|A0A1I6RNQ5_9RHOB_Autoinducer_binding_domain-containing_protein_OS=Yangia_pacifica_OX=311180_GN=SAMN04488050_103236_PE=4_SV=1	unreviewed	A0A1I6RNQ5_9RHOB	Autoinducer binding domain-containing protein	SAMN04488050_103236	Yangia pacifica	267	Yangia (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	7	tr|A0A1I6RNQ5	clade_2
tr|A0A1I6TPE5|A0A1I6TPE5_9CAUL_Transcriptional_regulator_LuxR_family_OS=Brevundimonas_viscosa_OX=871741_GN=SAMN05192570_0231_PE=4_SV=1	unreviewed	A0A1I6TPE5_9CAUL	Transcriptional regulator, LuxR family	SAMN05192570_0231	Brevundimonas viscosa	244	Brevundimonas (genus), Caulobacteraceae (family), Caulobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A1I6TPE5	clade_5
tr|A0A1I7EAT5|A0A1I7EAT5_9HYPH_Transcriptional_regulator_LuxR_family_OS=Mesorhizobium_sp._YR577_OX=1884373_GN=SAMN05518861_12521_PE=4_SV=1	unreviewed	A0A1I7EAT5_9HYPH	Transcriptional regulator, LuxR family	SAMN05518861_12521	Mesorhizobium sp. YR577	241	unclassified Mesorhizobium (no rank), Mesorhizobium (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	4	tr|A0A1I7EAT5	clade_5
tr|A0A1I7IS76|A0A1I7IS76_9PROT_Transcriptional_regulator_LuxR_family_OS=Nitrosospira_multiformis_OX=1231_GN=SAMN05216417_12518_PE=4_SV=1	unreviewed	A0A1I7IS76_9PROT	Transcriptional regulator, LuxR family	SAMN05216417_12518	Nitrosospira multiformis	266	Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	32	tr|A0A1I7IS76	clade_6
tr|A0A1J5RXY4|A0A1J5RXY4_9ZZZZ_Transcriptional_activator_protein_LuxR_OS=mine_drainage_metagenome_OX=410659_GN=luxR_PE=4_SV=1	unreviewed	A0A1J5RXY4_9ZZZZ	Transcriptional activator protein LuxR	luxR GALL_171440	mine drainage metagenome	255	ecological metagenomes (no rank), metagenomes (no rank), unclassified sequences (no rank), unclassified entries (no rank)		2	tr|A0A1J5RXY4	clade_1
tr|A0A1K1RPX9|A0A1K1RPX9_9PSED_Regulatory_protein_luxR_family_OS=Pseudomonas_sp._NFACC16-2_OX=1554560_GN=SAMN05660640_03146_PE=4_SV=1	unreviewed	A0A1K1RPX9_9PSED	Regulatory protein, luxR family	SAMN05660640_03146	Pseudomonas sp. NFACC16-2	238	unclassified Pseudomonas (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A1K1RPX9	clade_6
tr|A0A1K1SYB5|A0A1K1SYB5_9BURK_Transcriptional_regulator_LuxR_family_OS=Burkholderia_sp._NFACC33-1_OX=1566269_GN=SAMN03159384_06702_PE=4_SV=1	unreviewed	A0A1K1SYB5_9BURK	Transcriptional regulator, LuxR family	SAMN03159384_06702	Burkholderia sp. NFACC33-1	263	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	76	tr|A0A1K1SYB5	clade_5
tr|A0A1L3ZPW2|A0A1L3ZPW2_RHILE_HTH_luxR-type_domain-containing_protein_OS=Rhizobium_leguminosarum_OX=384_GN=BMW22_41005_PE=4_SV=1	unreviewed	A0A1L3ZPW2_RHILE	HTH luxR-type domain-containing protein	BMW22_41005	Rhizobium leguminosarum	263	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	57	tr|A0A1L3ZPW2	clade_5
tr|A0A1L5P9Z8|A0A1L5P9Z8_RHIET_LuxR_family_transcriptional_regulator_protein_OS=Rhizobium_etli_8C-3_OX=538025_GN=AM571_PA00108_PE=4_SV=1	unreviewed	A0A1L5P9Z8_RHIET	LuxR family transcriptional regulator protein	AM571_PA00108	Rhizobium etli 8C-3	252	Rhizobium etli (species), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	47	tr|A0A1L5P9Z8	clade_4
tr|A0A1L9BM79|A0A1L9BM79_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Paracoccus_sp._SM22M-07_OX=1520813_GN=IE00_16640_PE=4_SV=1	unreviewed	A0A1L9BM79_9RHOB	HTH luxR-type domain-containing protein	IE00_16640	Paracoccus sp. SM22M-07	231	unclassified Paracoccus (in: a-proteobacteria) (no rank), Paracoccus (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1L9BM79	clade_2
tr|A0A1L9P269|A0A1L9P269_9RHOB_Putative_transcriptional_activator_protein_TraR_OS=Planktotalea_frisia_OX=696762_GN=traR_1_PE=4_SV=1	unreviewed	A0A1L9P269_9RHOB	Putative transcriptional activator protein TraR	traR_1 PFRI_01620	Planktotalea frisia	231	Planktotalea (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1L9P269	clade_4
tr|A0A1M3M576|A0A1M3M576_9PROT_HTH_luxR-type_domain-containing_protein_OS=Magnetospirillum_sp._64-120_OX=1895778_GN=BGO92_09630_PE=4_SV=1	unreviewed	A0A1M3M576_9PROT	HTH luxR-type domain-containing protein	BGO92_09630	Magnetospirillum sp. 64-120	237	unclassified Magnetospirillum (no rank), Magnetospirillum (genus), Rhodospirillaceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	6	tr|A0A1M3M576	clade_4
tr|A0A1M3PZW1|A0A1M3PZW1_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Rhizobium_sp._60-20_OX=1895819_GN=BGP09_25175_PE=4_SV=1	unreviewed	A0A1M3PZW1_9HYPH	HTH luxR-type domain-containing protein	BGP09_25175	Rhizobium sp. 60-20	247	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A1M3PZW1	clade_3
tr|A0A1M4N4I2|A0A1M4N4I2_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Donghicola_eburneus_OX=393278_GN=KARMA_3075_PE=4_SV=1	unreviewed	A0A1M4N4I2_9RHOB	HTH luxR-type domain-containing protein	KARMA_3075	Donghicola eburneus	238	Donghicola (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1M4N4I2	clade_4
tr|A0A1M4TX82|A0A1M4TX82_9RHOB_DNA-binding_response_regulator_NarL/FixJ_family_contains_REC_and_HTH_domains_OS=Loktanella_atrilutea_OX=366533_GN=SAMN05444339_101519_PE=4_SV=1	unreviewed	A0A1M4TX82_9RHOB	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	SAMN05444339_101519	Loktanella atrilutea	251	Loktanella (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A1M4TX82	clade_2
tr|A0A1M6EJ69|A0A1M6EJ69_9RHOB_Autoinducer_binding_domain-containing_protein_OS=Wenxinia_saemankumensis_OX=1447782_GN=SAMN05444417_2019_PE=4_SV=1	unreviewed	A0A1M6EJ69_9RHOB	Autoinducer binding domain-containing protein	SAMN05444417_2019	Wenxinia saemankumensis	250	Wenxinia (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A1M6EJ69	clade_2
tr|A0A1N6GUY7|A0A1N6GUY7_9DELT_Autoinducer_binding_domain-containing_protein_OS=Halodesulfovibrio_marinisediminis_DSM_17456_OX=1121457_GN=SAMN02745161_1817_PE=4_SV=1	unreviewed	A0A1N6GUY7_9DELT	Autoinducer binding domain-containing protein	SAMN02745161_1817	Halodesulfovibrio marinisediminis DSM 17456	241	Halodesulfovibrio marinisediminis (species), Halodesulfovibrio (genus), Desulfovibrionaceae (family), Desulfovibrionales (order), Deltaproteobacteria (class), delta/epsilon subdivisions (subphylum), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Deltaproteobacteria	3	tr|A0A1N6GUY7	clade_2
tr|A0A1N6S6A9|A0A1N6S6A9_9HYPH_DNA-binding_transcriptional_regulator_CsgD_family_OS=Rhizobium_sp._RU35A_OX=1907414_GN=SAMN05880590_103325_PE=4_SV=1	unreviewed	A0A1N6S6A9_9HYPH	DNA-binding transcriptional regulator, CsgD family	SAMN05880590_103325	Rhizobium sp. RU35A	246	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A1N6S6A9	clade_1
tr|A0A1N6WD34|A0A1N6WD34_9HYPH_LuxR_family_transcriptional_regulator_activator_of_conjugal_transfer_of_Ti_plasmids_OS=Rhizobium_sp._RU33A_OX=1907413_GN=SAMN05880561_105215_PE=4_SV=1	unreviewed	A0A1N6WD34_9HYPH	LuxR family transcriptional regulator, activator of conjugal transfer of Ti plasmids	SAMN05880561_105215	Rhizobium sp. RU33A	260	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	7	tr|A0A1N6WD34	clade_4
tr|A0A1N7AMF3|A0A1N7AMF3_9RHOB_Autoinducer_binding_domain-containing_protein_OS=Paracoccus_thiocyanatus_OX=34006_GN=SAMN05421641_1621_PE=4_SV=1	unreviewed	A0A1N7AMF3_9RHOB	Autoinducer binding domain-containing protein	SAMN05421641_1621	Paracoccus thiocyanatus	238	Paracoccus (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A1N7AMF3	clade_3
tr|A0A1N7IMX3|A0A1N7IMX3_9PROT_Transcriptional_regulator_LuxR_family_OS=Insolitispirillum_peregrinum_OX=80876_GN=SAMN05421779_101373_PE=4_SV=1	unreviewed	A0A1N7IMX3_9PROT	Transcriptional regulator, LuxR family	SAMN05421779_101373	Insolitispirillum peregrinum	244	Insolitispirillum (genus), Rhodospirillaceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A1N7IMX3	clade_6
tr|A0A1N7JLA7|A0A1N7JLA7_9RHOB_Transcriptional_regulator_LuxR_family_OS=Rhodobacter_aestuarii_OX=453582_GN=SAMN05421580_10215_PE=4_SV=1	unreviewed	A0A1N7JLA7_9RHOB	Transcriptional regulator, LuxR family	SAMN05421580_10215	Rhodobacter aestuarii	257	Rhodobacter (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1N7JLA7	clade_2
tr|A0A1P8MR49|A0A1P8MR49_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Tateyamaria_omphalii_OX=299262_GN=BWR18_01685_PE=4_SV=1	unreviewed	A0A1P8MR49_9RHOB	HTH luxR-type domain-containing protein	BWR18_01685	Tateyamaria omphalii	254	Tateyamaria (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1P8MR49	clade_3
tr|A0A1Q4FIM5|A0A1Q4FIM5_9GAMM_HTH_luxR-type_domain-containing_protein_OS=Xanthomonadales_bacterium_63-13_OX=1895867_GN=BGP25_05120_PE=4_SV=1	unreviewed	A0A1Q4FIM5_9GAMM	HTH luxR-type domain-containing protein	BGP25_05120	Xanthomonadales bacterium 63-13	238	unclassified Xanthomonadales (no rank), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A1Q4FIM5	clade_5
tr|A0A1Q4ULL4|A0A1Q4ULL4_9PROT_HTH_luxR-type_domain-containing_protein_OS=Thalassospira_sp._TSL5-1_OX=1544451_GN=LF95_22375_PE=4_SV=1	unreviewed	A0A1Q4ULL4_9PROT	HTH luxR-type domain-containing protein	LF95_22375	Thalassospira sp. TSL5-1	256	unclassified Thalassospira (no rank), Thalassospira (genus), Thalassospiraceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	8	tr|A0A1Q4ULL4	clade_2
tr|A0A1Q5H598|A0A1Q5H598_9ACTN_HTH_luxR-type_domain-containing_protein_OS=Streptomyces_sp._CB01580_OX=1703933_GN=AMK22_10590_PE=4_SV=1	unreviewed	A0A1Q5H598_9ACTN	HTH luxR-type domain-containing protein	AMK22_10590	Streptomyces sp. CB01580	269	unclassified Streptomyces (no rank), Streptomyces (genus), Streptomycetaceae (family), Streptomycetales (order), Actinomycetes (class), Actinomycetota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Actinomycetes	42	tr|A0A1Q5H598	clade_2
tr|A0A1Q8TA16|A0A1Q8TA16_9GAMM_HTH_luxR-type_domain-containing_protein_OS=Chromohalobacter_japonicus_OX=223900_GN=BTW10_14250_PE=4_SV=1	unreviewed	A0A1Q8TA16_9GAMM	HTH luxR-type domain-containing protein	BTW10_14250	Chromohalobacter japonicus	238	Chromohalobacter (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	3	tr|A0A1Q8TA16	clade_6
tr|A0A1Q9A6B3|A0A1Q9A6B3_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Rhizobium_taibaishanense_OX=887144_GN=BJF91_12295_PE=4_SV=1	unreviewed	A0A1Q9A6B3_9HYPH	HTH luxR-type domain-containing protein	BJF91_12295	Rhizobium taibaishanense	243	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A1Q9A6B3	clade_6
tr|A0A1Q9AW13|A0A1Q9AW13_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Xaviernesmea_oryzae_OX=464029_GN=BJF93_11400_PE=4_SV=1	unreviewed	A0A1Q9AW13_9HYPH	HTH luxR-type domain-containing protein	BJF93_11400	Xaviernesmea oryzae	245	Xaviernesmea (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	10	tr|A0A1Q9AW13	clade_4
tr|A0A1Q9AW30|A0A1Q9AW30_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Xaviernesmea_oryzae_OX=464029_GN=BJF93_11290_PE=4_SV=1	unreviewed	A0A1Q9AW30_9HYPH	HTH luxR-type domain-containing protein	BJF93_11290	Xaviernesmea oryzae	254	Xaviernesmea (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	17	tr|A0A1Q9AW30	clade_4
tr|A0A1R1JBQ7|A0A1R1JBQ7_9BURK_HTH_luxR-type_domain-containing_protein_OS=Burkholderia_ubonensis_OX=101571_GN=BW685_13785_PE=4_SV=1	unreviewed	A0A1R1JBQ7_9BURK	HTH luxR-type domain-containing protein	BW685_13785	Burkholderia ubonensis	260	Burkholderia cepacia complex (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	12	tr|A0A1R1JBQ7	clade_6
tr|A0A1R3TM16|A0A1R3TM16_9HYPH_Transcriptional_activator_protein_LuxR_OS=Agrobacterium_sp._DSM_25558_OX=1907665_GN=luxR_2_PE=4_SV=1	unreviewed	A0A1R3TM16_9HYPH	Transcriptional activator protein LuxR	luxR_2 DSM25558_3280	Agrobacterium sp. DSM 25558	240	unclassified Agrobacterium (no rank), Agrobacterium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	4	tr|A0A1R3TM16	clade_5
tr|A0A1S6HVM7|A0A1S6HVM7_9GAMM_DNA-binding_protein_with_HTH_domain_OS=Shewanella_psychrophila_OX=225848_GN=Sps_04463_PE=4_SV=1	unreviewed	A0A1S6HVM7_9GAMM	DNA-binding protein with HTH domain	Sps_04463	Shewanella psychrophila	250	Shewanella (genus), Shewanellaceae (family), Alteromonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	4	tr|A0A1S6HVM7	clade_6
